T;Requiv
88.3715 ; 86.5643
86.7345 ; 86.5064
86.138 ; 87.1412
85.8473 ; 87.7196
85.5261 ; 88.2979
85.4037 ; 89.4567
85.2201 ; 89.8052
84.9447 ; 90.6182
84.7612 ; 90.6182
84.5317 ; 91.7822
84.2409 ; 91.7822
84.042 ; 92.9486
84.042 ; 92.9486
83.8279 ; 93.8251
83.4455 ; 94.1173
83.3843 ; 94.2931
83.0937 ; 95.2889
82.7723 ; 95.2889
82.4663 ; 96.1694
82.3287 ; 96.4629
81.9615 ; 96.4629
81.8086 ; 97.4628
81.5792 ; 97.6393
81.2885 ; 97.6393
81.2578 ; 98.8184
81.0742 ; 98.8184
80.9366 ; 98.8184
80.646 ; 100.0
80.4012 ; 100.0
80.34 ; 100.0
80.0494 ; 101.184
79.927 ; 101.184
79.728 ; 101.184
79.5444 ; 102.311
79.4067 ; 102.371
79.1621 ; 102.371
78.9479 ; 103.56
78.7336 ; 103.56
78.5347 ; 103.56
78.29 ; 104.275
78.0452 ; 104.751
77.6628 ; 104.751
77.3721 ; 104.751
77.3109 ; 105.946
77.4334 ; 105.946
77.2956 ; 105.946
77.0661 ; 106.305
76.959 ; 107.143
76.6991 ; 107.143
76.4849 ; 107.143
76.3625 ; 107.743
76.179 ; 108.342
76.0413 ; 108.342
75.7964 ; 108.342
75.7658 ; 109.304
75.5822 ; 109.544
75.4445 ; 109.544
75.261 ; 109.544
75.1692 ; 110.749
74.9703 ; 110.749
74.8327 ; 110.749
74.6186 ; 110.749
74.5421 ; 111.534
74.3738 ; 111.956
74.2207 ; 111.956
74.0677 ; 111.956
73.93 ; 112.501
73.8076 ; 113.166
73.6241 ; 113.166
73.4559 ; 113.166
73.3488 ; 113.166
73.1957 ; 114.318
73.058 ; 114.379
72.951 ; 114.379
72.7521 ; 114.379
72.6909 ; 115.351
72.4767 ; 115.594
72.3849 ; 115.594
72.2167 ; 115.594
72.1403 ; 115.594
72.0179 ; 116.812
71.8342 ; 116.812
71.773 ; 116.812
71.5129 ; 116.812
71.4823 ; 117.056
71.3141 ; 118.033
71.2529 ; 118.033
71.0387 ; 118.033
70.9623 ; 118.033
70.8398 ; 118.767
70.6563 ; 119.256
70.5798 ; 119.256
70.5646 ; 119.256
70.3809 ; 119.256
70.2891 ; 120.236
70.182 ; 120.482
69.9678 ; 120.482
69.876 ; 120.482
69.769 ; 120.482
69.6619 ; 121.403
69.5854 ; 121.71
69.2947 ; 121.71
69.1876 ; 121.71
69.0499 ; 121.71
68.9886 ; 122.511
68.8051 ; 122.941
68.6981 ; 122.941
68.4533 ; 122.941
68.5298 ; 122.941
68.4227 ; 123.312
68.2698 ; 124.176
68.2851 ; 124.176
68.178 ; 124.176
68.0556 ; 124.176
67.9179 ; 124.238
67.7036 ; 125.412
67.6119 ; 125.412
67.153 ; 125.412
67.2295 ; 125.412
67.1989 ; 125.412
66.9235 ; 125.97
66.8929 ; 126.652
66.7859 ; 126.652
66.6176 ; 126.652
66.5411 ; 126.652
66.1585 ; 126.652
66.4646 ; 127.894
66.2963 ; 127.894
66.281 ; 127.894
66.1586 ; 127.894
66.0056 ; 127.894
65.9444 ; 128.392
65.822 ; 129.139
65.6691 ; 129.139
65.6691 ; 129.139
65.4396 ; 129.139
65.3784 ; 129.139
65.2408 ; 130.199
65.149 ; 130.387
65.0573 ; 130.387
64.9807 ; 130.387
64.7665 ; 130.387
64.7512 ; 130.387
64.6899 ; 131.637
64.4911 ; 131.637
64.4299 ; 131.637
64.3687 ; 131.637
64.1546 ; 131.637
64.1546 ; 131.637
64.1087 ; 132.89
63.8792 ; 132.89
63.8334 ; 132.89
63.7874 ; 132.89
63.5732 ; 132.89
63.512 ; 132.953
63.5273 ; 134.146
63.3896 ; 134.146
63.2367 ; 134.146
63.2061 ; 134.146
63.099 ; 134.146
62.9155 ; 134.209
62.9001 ; 135.405
62.7625 ; 135.405
62.6554 ; 135.405
62.6095 ; 135.405
62.5177 ; 135.405
62.3647 ; 135.657
62.2881 ; 136.666
62.3035 ; 136.666
62.1352 ; 136.666
62.0281 ; 136.666
61.9822 ; 136.666
61.8293 ; 136.666
61.7069 ; 137.868
61.661 ; 137.931
61.6151 ; 137.931
61.4315 ; 137.931
61.3856 ; 137.931
61.3856 ; 137.931
61.1562 ; 137.994
61.095 ; 139.198
61.0797 ; 139.198
60.9573 ; 139.198
60.789 ; 139.198
60.7737 ; 139.198
60.7737 ; 139.198
60.5442 ; 139.325
60.483 ; 140.468
60.4677 ; 140.468
60.3912 ; 140.468
60.223 ; 140.468
60.1618 ; 140.468
60.1618 ; 140.468
59.9476 ; 141.359
59.8558 ; 141.741
59.8558 ; 141.741
59.657 ; 141.741
59.5652 ; 141.741
59.5499 ; 141.741
59.5499 ; 141.741
59.3969 ; 142.698
59.2286 ; 143.017
59.2286 ; 143.017
59.1368 ; 143.017
58.9991 ; 143.017
58.9379 ; 143.017
58.9379 ; 143.08
58.9073 ; 144.295
58.6473 ; 144.295
58.632 ; 144.295
58.632 ; 144.295
58.4943 ; 144.295
58.4484 ; 144.295
58.3414 ; 144.295
58.326 ; 144.295
58.1272 ; 145.576
58.0354 ; 145.576
58.0201 ; 145.576
57.913 ; 145.576
57.7753 ; 145.576
57.7141 ; 145.576
57.7141 ; 145.576
57.6835 ; 146.861
57.4846 ; 146.861
57.4081 ; 146.861
57.3928 ; 146.861
57.3775 ; 146.861
57.2092 ; 146.861
57.1022 ; 146.861
57.1022 ; 147.762
57.0104 ; 148.148
56.8268 ; 148.148
56.7961 ; 148.148
56.7808 ; 148.148
56.7808 ; 148.148
56.6432 ; 148.148
56.4749 ; 148.212
56.4902 ; 149.438
56.3372 ; 149.438
56.2301 ; 149.438
56.2148 ; 149.438
56.1842 ; 149.438
56.1231 ; 149.438
55.9701 ; 149.438
55.8936 ; 149.632
55.863 ; 150.731
55.6336 ; 150.731
55.5724 ; 150.731
55.5724 ; 150.731
55.5571 ; 150.731
55.5571 ; 150.731
55.4806 ; 150.731
55.2969 ; 150.86
55.2664 ; 152.027
55.2664 ; 152.027
55.0981 ; 152.027
55.0522 ; 152.027
54.9604 ; 152.027
54.9604 ; 152.027
54.8533 ; 152.027
54.7004 ; 152.157
54.6392 ; 153.326
54.6545 ; 153.326
54.6238 ; 153.326
54.4862 ; 153.326
54.3638 ; 153.326
54.3332 ; 153.326
54.2874 ; 153.326
54.1956 ; 154.237
54.0732 ; 154.627
54.0426 ; 154.627
54.0426 ; 154.627
54.012 ; 154.627
53.7825 ; 154.627
53.4765 ; 154.627
53.4306 ; 154.627
53.4306 ; 154.627
53.3082 ; 155.802
53.2317 ; 155.932
53.3541 ; 155.932
53.1094 ; 155.932
53.2164 ; 155.932
52.8493 ; 155.932
52.9564 ; 155.932
53.14 ; 155.932
52.7575 ; 156.259
52.7422 ; 157.24
52.8799 ; 157.24
52.8034 ; 157.24
52.7269 ; 157.24
52.5586 ; 157.24
52.5433 ; 157.24
52.5127 ; 157.24
52.4515 ; 157.24
52.2832 ; 158.288
52.2068 ; 158.55
52.222 ; 158.55
52.2068 ; 158.55
52.1915 ; 158.55
52.1915 ; 158.55
52.0385 ; 158.55
51.962 ; 158.55
51.9314 ; 158.55
51.9008 ; 159.207
51.8855 ; 159.864
51.8243 ; 159.864
51.6867 ; 159.864
51.6102 ; 159.864
51.5949 ; 159.864
51.5796 ; 159.864
51.4725 ; 159.864
51.3194 ; 159.864
51.2888 ; 159.864
51.2888 ; 161.18
51.2888 ; 161.18
51.2276 ; 161.18
51.0441 ; 161.18
50.9676 ; 161.18
50.9829 ; 161.18
50.9676 ; 161.18
50.8452 ; 161.18
50.7075 ; 161.18
50.6769 ; 161.906
50.6769 ; 162.5
50.6769 ; 162.5
50.4781 ; 162.5
50.4169 ; 162.5
50.371 ; 162.5
50.3557 ; 162.5
50.371 ; 162.5
50.371 ; 162.5
50.1874 ; 162.5
50.1415 ; 163.426
50.0804 ; 163.822
50.0651 ; 163.822
50.0038 ; 163.822
49.8814 ; 163.822
49.7743 ; 163.822
49.759 ; 163.822
49.7437 ; 163.822
49.7437 ; 163.822
49.6061 ; 163.822
49.4684 ; 164.618
49.4378 ; 165.148
49.4531 ; 165.148
49.4378 ; 165.148
49.4225 ; 165.148
49.3001 ; 165.148
49.2083 ; 165.148
49.1471 ; 165.148
49.1013 ; 165.148
49.0554 ; 165.148
48.9942 ; 165.148
48.8412 ; 166.211
48.8412 ; 166.477
48.8412 ; 166.477
48.8259 ; 166.477
48.7341 ; 166.477
48.6118 ; 166.477
48.5659 ; 166.477
48.5353 ; 166.477
48.5353 ; 166.477
48.5506 ; 166.477
48.3058 ; 166.942
48.2751 ; 167.808
48.2292 ; 167.808
48.2292 ; 167.808
48.2292 ; 167.808
48.1375 ; 167.808
48.0457 ; 167.808
47.9539 ; 167.808
47.9233 ; 167.808
47.9233 ; 167.808
47.8468 ; 167.808
47.7244 ; 167.941
47.6632 ; 169.143
47.6174 ; 169.143
47.6021 ; 169.143
47.5867 ; 169.143
47.5409 ; 169.143
47.3879 ; 169.143
47.3267 ; 169.143
47.2961 ; 169.143
47.3267 ; 169.143
47.3114 ; 169.143
47.2808 ; 169.276
47.2043 ; 170.414
47.1278 ; 170.48
47.0819 ; 170.48
46.8524 ; 170.48
47.2655 ; 170.48
46.5464 ; 170.48
46.6994 ; 170.48
46.6841 ; 170.48
46.6841 ; 170.48
46.6841 ; 170.48
46.6382 ; 170.614
46.6688 ; 171.754
46.5005 ; 171.821
46.4853 ; 171.821
46.3935 ; 171.821
46.3782 ; 171.821
46.2864 ; 171.821
46.2099 ; 171.821
46.2864 ; 171.821
46.1181 ; 171.821
46.0876 ; 171.821
46.0876 ; 171.821
46.0723 ; 171.821
46.0569 ; 173.031
45.9346 ; 173.165
45.7969 ; 173.165
45.7663 ; 173.165
45.751 ; 173.165
45.6745 ; 173.165
45.6133 ; 173.165
45.5062 ; 173.165
45.5062 ; 173.165
45.4603 ; 173.165
45.4603 ; 173.165
45.4603 ; 173.165
45.3379 ; 174.108
45.2002 ; 174.512
45.1696 ; 174.512
45.1544 ; 174.512
45.1696 ; 174.512
45.1238 ; 174.512
45.0779 ; 174.512
44.9096 ; 174.512
44.879 ; 174.512
44.8637 ; 174.512
44.8637 ; 174.512
44.8637 ; 174.512
44.7872 ; 174.647
44.7107 ; 175.659
44.619 ; 175.862
44.5884 ; 175.862
44.5578 ; 175.862
44.5578 ; 175.862
44.5578 ; 175.862
44.3741 ; 175.862
44.2976 ; 175.862
44.267 ; 175.862
44.2517 ; 175.862
44.2517 ; 175.862
44.2517 ; 175.862
44.2517 ; 175.862
44.2364 ; 176.065
44.114 ; 177.215
44.007 ; 177.215
43.9611 ; 177.215
43.9458 ; 177.215
43.9458 ; 177.215
43.9458 ; 177.215
43.854 ; 177.215
43.7775 ; 177.215
43.7163 ; 177.215
43.6245 ; 177.215
43.6245 ; 177.215
43.6245 ; 177.215
43.5939 ; 177.215
43.5633 ; 178.436
43.4257 ; 178.571
43.3492 ; 178.571
43.3186 ; 178.571
43.3339 ; 178.571
43.3339 ; 178.571
43.3033 ; 178.571
43.1656 ; 178.571
43.0738 ; 178.571
43.0432 ; 178.571
43.0279 ; 178.571
43.0279 ; 178.571
43.0279 ; 178.571
42.9973 ; 178.571
42.9208 ; 179.183
42.829 ; 179.931
42.7831 ; 179.931
42.7219 ; 179.931
42.7066 ; 179.931
42.7219 ; 179.931
42.6454 ; 179.931
42.6148 ; 179.931
42.5384 ; 179.931
42.4619 ; 179.931
42.416 ; 179.931
42.416 ; 179.931
42.416 ; 179.931
42.416 ; 179.931
42.3701 ; 180.067
42.263 ; 181.157
42.1559 ; 181.293
42.1712 ; 181.293
42.1253 ; 181.293
42.1406 ; 181.293
42.1253 ; 181.293
42.0947 ; 181.293
42.0488 ; 181.293
42.0029 ; 181.293
41.85 ; 181.293
41.8194 ; 181.293
41.8194 ; 181.293
41.7888 ; 181.293
41.8041 ; 181.293
41.7582 ; 181.293
41.6817 ; 181.771
41.5287 ; 182.658
41.5287 ; 182.658
41.4828 ; 182.658
41.4981 ; 182.658
41.4828 ; 182.658
41.4675 ; 182.658
41.391 ; 182.658
41.3604 ; 182.658
41.238 ; 182.658
41.2227 ; 182.658
41.2074 ; 182.658
41.1921 ; 182.658
41.1921 ; 182.658
41.1921 ; 182.658
41.1768 ; 182.658
41.1768 ; 183.548
40.9474 ; 184.027
40.9473 ; 184.027
41.0239 ; 184.027
40.9474 ; 184.027
40.9015 ; 184.027
40.5802 ; 184.027
40.672 ; 184.027
40.7179 ; 184.027
40.7944 ; 184.027
40.825 ; 184.027
40.9626 ; 184.027
40.8097 ; 184.027
40.5343 ; 184.027
40.3355 ; 184.027
40.2743 ; 184.027
40.5343 ; 184.576
40.519 ; 185.331
40.2896 ; 185.399
40.2896 ; 185.399
40.5802 ; 185.399
40.5649 ; 185.399
40.3967 ; 185.399
40.2896 ; 185.399
40.2896 ; 185.399
40.2896 ; 185.399
40.0601 ; 185.399
39.9988 ; 185.399
39.6317 ; 185.399
39.7082 ; 185.399
39.8306 ; 185.399
39.7847 ; 185.399
39.7082 ; 185.399
39.6623 ; 185.606
39.6623 ; 186.775
39.6623 ; 186.775
39.647 ; 186.775
39.6317 ; 186.775
39.6011 ; 186.775
39.5247 ; 186.775
39.4023 ; 186.775
39.3564 ; 186.775
39.3717 ; 186.775
39.3564 ; 186.775
39.3717 ; 186.775
39.3105 ; 186.775
39.2646 ; 186.775
39.1728 ; 186.775
39.1116 ; 186.775
39.0963 ; 186.775
39.0504 ; 186.775
39.0504 ; 187.326
39.0504 ; 188.153
39.0504 ; 188.153
39.0198 ; 188.153
39.0504 ; 188.153
38.9586 ; 188.153
38.8515 ; 188.153
38.7444 ; 188.153
38.7444 ; 188.153
38.7444 ; 188.153
38.7444 ; 188.153
38.7444 ; 188.153
38.7291 ; 188.153
38.7138 ; 188.153
38.5608 ; 188.153
38.4996 ; 188.153
38.4538 ; 188.153
38.4385 ; 188.153
38.4232 ; 188.153
38.4538 ; 188.844
38.4232 ; 189.534
38.362 ; 189.534
38.2243 ; 189.534
38.2243 ; 189.534
38.1784 ; 189.534
38.1784 ; 189.534
38.1784 ; 189.534
38.1325 ; 189.534
38.1172 ; 189.534
38.1325 ; 189.534
38.0407 ; 189.534
38.0101 ; 189.534
37.8572 ; 189.534
37.8725 ; 189.534
37.8419 ; 189.534
37.8266 ; 189.534
37.8266 ; 189.534
37.8266 ; 189.604
37.8113 ; 190.573
37.7654 ; 190.919
37.7042 ; 190.919
37.7195 ; 190.919
37.5971 ; 190.919
37.5512 ; 190.919
37.5359 ; 190.919
37.5359 ; 190.919
37.5206 ; 190.919
37.5206 ; 190.919
37.5359 ; 190.919
37.49 ; 190.919
37.4594 ; 190.919
37.3982 ; 190.919
37.2911 ; 190.919
37.2146 ; 190.919
37.2299 ; 190.919
37.2299 ; 190.919
37.1993 ; 190.919
37.2146 ; 190.919
37.184 ; 190.919
37.1993 ; 190.919
37.1075 ; 191.336
36.9852 ; 192.308
36.9393 ; 192.308
36.9087 ; 192.308
36.9087 ; 192.308
36.9087 ; 192.308
36.8934 ; 192.308
36.9087 ; 192.308
36.8781 ; 192.308
36.8016 ; 192.308
36.771 ; 192.308
36.6639 ; 192.308
36.6945 ; 192.308
36.6486 ; 192.308
36.618 ; 192.308
36.5874 ; 192.308
36.6027 ; 192.308
36.6027 ; 192.308
36.5874 ; 192.308
36.5874 ; 192.308
36.6027 ; 192.447
36.5874 ; 193.49
36.5568 ; 193.698
36.5415 ; 193.698
36.4344 ; 193.698
36.465 ; 193.698
36.4038 ; 193.698
36.3732 ; 193.698
36.4191 ; 193.698
36.358 ; 193.698
36.2968 ; 193.698
36.2968 ; 193.698
36.2815 ; 193.698
36.2509 ; 193.698
36.2203 ; 193.698
36.1285 ; 193.698
36.0519 ; 193.698
36.0673 ; 193.698
36.006 ; 193.698
36.006 ; 193.698
35.9908 ; 193.698
35.9908 ; 193.698
35.9907 ; 193.698
35.9754 ; 193.977
35.9601 ; 194.954
35.9449 ; 195.093
35.9143 ; 195.093
35.8072 ; 195.093
35.7154 ; 195.093
35.7001 ; 195.093
35.7154 ; 195.093
35.6848 ; 195.093
35.6848 ; 195.093
35.6542 ; 195.093
35.6542 ; 195.093
35.5777 ; 195.093
35.6236 ; 195.093
35.4859 ; 195.093
35.4706 ; 195.093
35.3788 ; 195.093
35.4094 ; 195.093
35.3941 ; 195.093
35.3635 ; 195.093
35.1953 ; 195.093
35.2106 ; 195.093
35.1953 ; 195.093
35.1188 ; 195.722
35.18 ; 196.491
35.2412 ; 196.491
35.1647 ; 196.491
35.1494 ; 196.491
35.1188 ; 196.491
35.0882 ; 196.491
35.0729 ; 196.491
35.0729 ; 196.491
35.0576 ; 196.491
35.0576 ; 196.491
35.027 ; 196.491
34.9658 ; 196.491
34.9505 ; 196.491
34.8587 ; 196.491
34.7669 ; 196.491
34.7516 ; 196.491
34.7669 ; 196.491
34.767 ; 196.491
34.767 ; 196.491
34.7669 ; 196.491
34.7669 ; 196.491
34.721 ; 196.491
34.7211 ; 196.491
34.6139 ; 196.561
34.6139 ; 197.191
34.5068 ; 197.892
34.4763 ; 197.892
34.4609 ; 197.892
34.4762 ; 197.892
34.4609 ; 197.892
34.4609 ; 197.892
34.461 ; 197.892
34.4303 ; 197.892
34.4609 ; 197.892
34.4303 ; 197.892
34.3845 ; 197.892
34.3386 ; 197.892
34.2927 ; 197.892
34.2927 ; 197.892
34.002 ; 197.892
34.2009 ; 197.892
34.1703 ; 197.892
34.155 ; 197.892
34.4456 ; 197.892
34.4456 ; 197.892
34.4609 ; 197.892
34.4456 ; 197.892
34.2927 ; 197.892
34.2009 ; 197.892
34.1703 ; 197.892
34.2162 ; 198.594
34.2009 ; 199.226
34.1397 ; 199.296
34.415 ; 199.226
34.2927 ; 199.296
33.9255 ; 199.296
33.8796 ; 199.296
33.849 ; 199.296
33.7878 ; 199.296
33.7114 ; 199.296
33.6961 ; 199.296
33.6349 ; 199.296
33.6502 ; 199.296
33.6655 ; 199.296
33.5737 ; 199.296
33.5431 ; 199.296
33.5431 ; 199.296
33.5431 ; 199.296
33.5278 ; 199.296
33.5431 ; 199.296
33.5278 ; 199.296
33.5278 ; 199.296
33.5278 ; 199.296
33.4819 ; 199.296
33.3748 ; 199.296
33.3442 ; 199.296
33.283 ; 199.296
33.2524 ; 199.789
33.2677 ; 200.563
33.2371 ; 200.704
33.2218 ; 200.704
33.2371 ; 200.704
33.2371 ; 200.704
33.2218 ; 200.704
33.2371 ; 200.704
33.1912 ; 200.704
33.0994 ; 200.704
32.9771 ; 200.704
32.9771 ; 200.704
32.9771 ; 200.704
32.9465 ; 200.704
32.9312 ; 200.704
32.9312 ; 200.704
32.9465 ; 200.704
32.9159 ; 200.704
32.9159 ; 200.704
32.9159 ; 200.704
32.9006 ; 200.704
32.87 ; 200.704
32.9006 ; 200.704
32.8547 ; 200.704
32.8853 ; 200.704
32.7782 ; 200.704
32.7017 ; 200.704
32.7017 ; 200.704
32.6099 ; 200.704
32.6252 ; 200.704
32.6099 ; 200.704
32.6252 ; 201.268
32.6099 ; 201.903
32.6252 ; 202.115
32.6252 ; 202.115
32.5946 ; 202.115
32.6099 ; 202.115
32.5334 ; 202.115
32.6099 ; 202.115
32.411 ; 202.115
32.4722 ; 202.115
32.411 ; 202.115
32.5181 ; 202.115
32.4722 ; 202.115
32.3957 ; 202.115
32.3498 ; 202.115
32.3345 ; 202.115
32.304 ; 202.115
32.258 ; 202.115
32.3192 ; 202.115
32.1968 ; 202.115
32.2886 ; 202.115
32.2886 ; 202.115
32.258 ; 202.115
32.2427 ; 202.115
32.0438 ; 202.115
32.0744 ; 202.115
32.0591 ; 202.115
31.9979 ; 202.115
31.9979 ; 202.115
32.0132 ; 202.186
31.9979 ; 202.469
32.0132 ; 203.317
31.9979 ; 203.529
31.9979 ; 203.529
32.0132 ; 203.529
31.9979 ; 203.529
31.9673 ; 203.529
31.9367 ; 203.529
31.7838 ; 203.529
31.7991 ; 203.529
31.8756 ; 203.529
31.7226 ; 203.529
31.7073 ; 203.529
31.7379 ; 203.529
31.7073 ; 203.529
31.7379 ; 203.529
31.692 ; 203.529
31.7073 ; 203.529
31.7073 ; 203.529
31.692 ; 203.529
31.6155 ; 203.529
31.6002 ; 203.529
31.4778 ; 203.529
31.4778 ; 203.529
31.4013 ; 203.529
31.4319 ; 203.529
31.4166 ; 203.529
31.386 ; 203.529
31.4013 ; 203.529
31.4013 ; 203.529
31.4013 ; 203.529
31.4013 ; 203.529
31.386 ; 203.529
31.386 ; 203.529
31.4013 ; 203.813
31.3707 ; 204.734
31.3554 ; 204.876
31.126 ; 204.946
31.126 ; 204.946
31.0801 ; 204.946
31.126 ; 204.946
31.1413 ; 204.946
31.0954 ; 204.946
31.0801 ; 204.946
31.0801 ; 204.946
31.0801 ; 204.946
31.0801 ; 204.946
31.0648 ; 204.946
31.0801 ; 204.946
31.0801 ; 204.946
31.0495 ; 204.946
31.0648 ; 204.946
31.0342 ; 204.946
30.9883 ; 204.946
30.973 ; 204.946
30.8812 ; 204.946
30.7894 ; 204.946
30.8506 ; 204.946
30.82 ; 204.946
30.82 ; 204.946
30.8047 ; 204.946
30.82 ; 204.946
30.7894 ; 204.946
30.7894 ; 204.946
30.7894 ; 204.946
30.7741 ; 204.946
30.7894 ; 204.946
30.7894 ; 204.946
30.7894 ; 204.946
30.7435 ; 204.946
30.7282 ; 205.018
30.6211 ; 205.941
30.6364 ; 206.225
30.5446 ; 206.367
30.5293 ; 206.367
30.4987 ; 206.367
30.4834 ; 206.367
30.514 ; 206.367
30.514 ; 206.367
30.4834 ; 206.367
30.4834 ; 206.367
30.4681 ; 206.367
30.4834 ; 206.367
30.4222 ; 206.367
30.3917 ; 206.367
30.1928 ; 206.367
30.254 ; 206.367
30.1928 ; 206.367
30.2081 ; 206.367
30.1775 ; 206.367
30.1775 ; 206.367
30.1775 ; 206.367
30.1622 ; 206.367
30.1622 ; 206.367
30.1622 ; 206.367
30.1775 ; 206.367
30.1316 ; 206.367
30.101 ; 206.367
30.0857 ; 206.367
30.0245 ; 206.367
30.0092 ; 206.367
29.9633 ; 206.367